2026-02-23 01:28:06 | INFO     | setup_logging:94 | Logging initialized: D:\Lender-Platform2\lender-platform\logs\nbfc_extraction_20260223_012806.log
2026-02-23 01:28:06 | INFO     | main:850 | ======================================================================
2026-02-23 01:28:06 | INFO     | main:851 | NBFC EXTRACTION - PRODUCTION v2.0
2026-02-23 01:28:06 | INFO     | main:852 | ======================================================================
2026-02-23 01:28:06 | INFO     | load_nbfc_csv:793 | Loaded 934 NBFCs from CSV
2026-02-23 01:28:06 | INFO     | main:893 | Processing NBFC ID 99: 121 Finance Private Limited (Old Name Yerrow Finance and Investments Private Limited)
2026-02-23 01:28:10 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 01:28:18 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-2.5-flash:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 200 None
2026-02-23 01:28:18 | WARNING  | extract_with_gemini:544 | JSON parse failed, attempt 1
2026-02-23 01:28:21 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 01:28:31 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-2.5-flash:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 200 None
2026-02-23 01:28:31 | WARNING  | extract_with_gemini:544 | JSON parse failed, attempt 2
2026-02-23 01:28:34 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 01:28:44 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-2.5-flash:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 200 None
2026-02-23 01:28:44 | WARNING  | extract_with_gemini:544 | JSON parse failed, attempt 3
2026-02-23 01:28:47 | DEBUG    | extract_with_gemini:556 | gemini-2.5-flash failed after 3 attempts
2026-02-23 01:28:47 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 01:28:48 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-flash-latest:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 404 None
2026-02-23 01:28:48 | DEBUG    | extract_with_gemini:496 | gemini-flash-latest not available
2026-02-23 01:28:48 | DEBUG    | extract_with_gemini:556 | gemini-flash-latest failed after 3 attempts
2026-02-23 01:28:48 | INFO     | main:893 | Processing NBFC ID 100: 4Fin Finance Private Limited
2026-02-23 01:28:51 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 01:29:00 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-2.5-flash:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 200 None
2026-02-23 01:29:00 | WARNING  | extract_with_gemini:544 | JSON parse failed, attempt 1
2026-02-23 01:29:03 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 01:29:13 | DEBUG    | _make_request:544 | https://generativelanguage.googleapis.com:443 "POST /v1/models/gemini-2.5-flash:generateContent?key=AIzaSyDFLxg54NpQt6b4pEWHnRb1F8bTQHHDVzc HTTP/1.1" 200 None
2026-02-23 01:29:13 | WARNING  | extract_with_gemini:544 | JSON parse failed, attempt 2
2026-02-23 01:29:16 | DEBUG    | _new_conn:1049 | Starting new HTTPS connection (1): generativelanguage.googleapis.com:443
2026-02-23 01:29:25 | WARNING  | main:949 | Interrupted by user
2026-02-23 01:29:25 | DEBUG    | save_results:836 | Saved 1 records to D:\Lender-Platform2\lender-platform\data\output\nbfc_extracted_verified.csv
2026-02-23 01:29:25 | INFO     | main:970 | Final stats: {'failed': 1}
